//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-30-2023
//--  Time: 17:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.7, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
228	10.44	104 	1.113
229	10.45	105 	1.118
230	10.46	105 	1.123
231	10.47	105 	1.128
232	10.49	105 	1.133
233	10.50	105 	1.138
234	10.51	105 	1.143
235	10.52	105 	1.147
236	10.53	105 	1.152
237	10.55	105 	1.157
238	10.56	106 	1.162
239	10.57	106 	1.167
240	10.58	106 	1.172
241	10.59	106 	1.177
242	10.61	106 	1.182
243	10.62	106 	1.187
244	10.63	106 	1.191
245	10.64	106 	1.196
246	10.65	107 	1.201
247	10.67	107 	1.206
248	10.68	107 	1.211
249	10.69	107 	1.216
250	10.70	107 	1.221
251	10.71	107 	1.226
252	10.73	107 	1.230
253	10.74	107 	1.235
254	10.75	108 	1.240
255	10.76	108 	1.245
256	10.78	108 	1.250
257	10.79	108 	1.255
258	10.80	108 	1.260
259	10.81	108 	1.265
260	10.82	108 	1.270
261	10.84	108 	1.274
262	10.85	108 	1.279
263	10.86	109 	1.284
264	10.87	109 	1.289
265	10.88	109 	1.294
266	10.90	109 	1.299
267	10.91	109 	1.304
268	10.92	109 	1.309
269	10.93	109 	1.313
270	10.94	109 	1.318
271	10.96	110 	1.323
272	10.97	110 	1.328
273	10.98	110 	1.333
274	10.99	110 	1.338
275	11.00	110 	1.343
276	11.02	110 	1.348
277	11.03	110 	1.353
278	11.04	110 	1.357
279	11.05	111 	1.362
280	11.06	111 	1.367
281	11.08	111 	1.372
282	11.09	111 	1.377
283	11.10	111 	1.382
284	11.11	111 	1.387
285	11.12	111 	1.392
286	11.14	111 	1.396
287	11.15	111 	1.401
288	11.16	112 	1.406
289	11.17	112 	1.411
290	11.18	112 	1.416
291	11.20	112 	1.421
292	11.21	112 	1.426
293	11.22	112 	1.431
294	11.23	112 	1.436
295	11.24	112 	1.440
296	11.26	113 	1.445
297	11.27	113 	1.450
298	11.28	113 	1.455
299	11.29	113 	1.460
300	11.30	113 	1.465
301	11.32	113 	1.470
302	11.33	113 	1.475
303	11.34	113 	1.479
304	11.35	114 	1.484
305	11.36	114 	1.489
306	11.38	114 	1.494
307	11.39	114 	1.499
308	11.40	114 	1.504
309	11.41	114 	1.509
310	11.42	114 	1.514
311	11.44	114 	1.519
312	11.45	114 	1.523
313	11.46	115 	1.528
314	11.47	115 	1.533
315	11.48	115 	1.538
316	11.50	115 	1.543
317	11.51	115 	1.548
318	11.52	115 	1.553
319	11.53	115 	1.558
320	11.54	115 	1.563
321	11.56	116 	1.567
322	11.57	116 	1.572
323	11.58	116 	1.577
324	11.59	116 	1.582
325	11.60	116 	1.587
326	11.62	116 	1.592
327	11.63	116 	1.597
328	11.64	116 	1.602
329	11.65	117 	1.606
330	11.66	117 	1.611
331	11.68	117 	1.616
332	11.69	117 	1.621
333	11.70	117 	1.626
334	11.71	117 	1.631
335	11.72	117 	1.636
336	11.74	117 	1.641
337	11.75	117 	1.646
338	11.76	118 	1.650
339	11.77	118 	1.655
340	11.78	118 	1.660
341	11.80	118 	1.665
342	11.81	118 	1.670
343	11.82	118 	1.675
344	11.83	118 	1.680
345	11.84	118 	1.685
346	11.86	119 	1.689
347	11.87	119 	1.694
348	11.88	119 	1.699
349	11.89	119 	1.704
350	11.90	119 	1.709
351	11.92	119 	1.714
352	11.93	119 	1.719
353	11.94	119 	1.724
354	11.95	120 	1.729
355	11.96	120 	1.733
356	11.98	120 	1.738
357	11.99	120 	1.743
358	12.00	120 	1.748
359	12.01	120 	1.753
360	12.02	120 	1.758
361	12.04	120 	1.763
362	12.05	120 	1.768
363	12.06	121 	1.772
364	12.07	121 	1.777
365	12.08	121 	1.782
366	12.10	121 	1.787
367	12.11	121 	1.792
368	12.12	121 	1.797
369	12.13	121 	1.802
370	12.14	121 	1.807
371	12.16	122 	1.812
372	12.17	122 	1.816
373	12.18	122 	1.821
374	12.19	122 	1.826
375	12.20	122 	1.831
376	12.22	122 	1.836
377	12.23	122 	1.841
378	12.24	122 	1.846
