//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-30-2023
//--  Time: 17:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.7, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
989	19.58	196 	4.829
990	19.59	196 	4.834
991	19.60	196 	4.839
992	19.62	196 	4.844
993	19.63	196 	4.849
994	19.64	196 	4.854
995	19.65	197 	4.858
996	19.66	197 	4.863
997	19.68	197 	4.868
998	19.69	197 	4.873
999	19.70	197 	4.878
1000	19.71	197 	4.883
1001	19.72	197 	4.888
1002	19.74	197 	4.893
1003	19.75	197 	4.897
1004	19.76	198 	4.902
1005	19.77	198 	4.907
1006	19.78	198 	4.912
1007	19.80	198 	4.917
1008	19.81	198 	4.922
1009	19.82	198 	4.927
1010	19.83	198 	4.932
1011	19.84	198 	4.937
1012	19.86	199 	4.941
1013	19.87	199 	4.946
1014	19.88	199 	4.951
1015	19.89	199 	4.956
1016	19.90	199 	4.961
1017	19.92	199 	4.966
1018	19.93	199 	4.971
1019	19.94	199 	4.976
1020	19.95	200 	4.980
1021	19.96	200 	4.985
1022	19.98	200 	4.990
1023	19.99	200 	4.995
